citation_key,year,title,venue,topic,risk_representation,recovery_or_return_representation,recovery_type,used_in_planning,runtime_supervision,formal_guarantee,closest_overlap_with_dynnav_r,remaining_distinction,status
Fan_STEP_2021,2021,"STEP: Stochastic Traversability Evaluation and Planning for Risk-Aware Off-road Navigation",RSS,"risk-aware off-road navigation","CVaR traversability risk","none explicit","none","yes","no","risk/constraint guarantees within method assumptions","Tail-risk-aware route selection","No explicit continuous recoverability or shared recoverability-driven supervisor","component prior art"
Guo_SafeReturn_2023,2023,"Hierarchical Motion Planning under Probabilistic Temporal Tasks and Safe-Return Constraints",IEEE TAC,"safe-return constrained planning","probabilistic MDP task model","existence of return policy to safe states with probability bound","binary/probabilistic feasibility","yes","no","theoretical guarantees for formulated policies","Explicit return feasibility during planning","DynNav-R targets continuous route fragility and planner-supervisor coupling rather than only safe-return feasibility","core comparator"
Zhang_OnlineSafeReturn_2022,2022,"Online Planning of Uncertain MDPs under Temporal Tasks and Safe-Return Constraints",IEEE CDC,"online safe-return planning","uncertain MDP","outbound and return policies with safe-return probability","probabilistic feasibility","yes","no","theoretical guarantees","Online planning while retaining a return policy","DynNav-R uses interpretable local/route recoverability and controlled route invalidation experiments","core comparator"
He_ABS_2024,2024,"Agile But Safe: Learning Collision-Free High-Speed Legged Locomotion",RSS,"nominal/recovery policy switching","learned reach-avoid value","recovery policy guided by reach-avoid value","continuous value function","yes","yes","control-theoretic reach-avoid basis; learned approximation","Runtime switching using a recovery-related value","DynNav-R emphasizes auditable non-learned route-level recoverability and explicit risk/recoverability ablations","core comparator"
Axelrod_SafeRRT_2017,2017,"Provably Safe Robot Navigation with Obstacle Uncertainty",RSS,"planning under obstacle uncertainty","probabilistic safety checking","none explicit","none","yes","no","provable safety bounds under assumptions","Safety-aware planning under uncertainty","No retained recovery freedom or runtime supervisor","conceptual foundation"
Janson_UnknownEnv_2018,2018,"Safe Motion Planning in Unknown Environments: Optimality Benchmarks and Tractable Policies",RSS,"safe planning in unknown environments","collision-free policy under revealed obstacles","implicit preservation through safe policy","implicit","yes","online policy","safety guarantee in problem setting","Planning under unknown obstacles and online revelation","Does not expose continuous recoverability or route fragility metric","conceptual foundation"
Fisac_ConfidenceSafe_2018,2018,"Probabilistically Safe Robot Planning with Confidence-Based Human Predictions",RSS,"confidence-aware safety","probabilistic model confidence and safety certificate","fallback through conservative prediction","implicit","yes","closed-loop adaptation","probabilistic safety certificate","Runtime adaptation to model confidence","No explicit returnability or continuous retained-option objective","component prior art"
Isleyen_ReferenceGovernor_2022,2022,"From Low to High Order Motion Planners: Safe Robot Navigation using Motion Prediction and Reference Governor",arXiv / related publication,"feedback motion planning","predicted motion range","reference governor preserves safe execution","implicit viability","yes","yes","correctness proof","Bidirectional planning-control safety interface","No route-level recoverability objective or safe-return comparison","component prior art"
Kouvaritakis_ReturnabilityExploration_2024,2024,"Planning under uncertainty for safe robot exploration using Gaussian process prediction",Autonomous Robots,"safe exploration","GP-derived reachability probability","returnability probability to visited safe waypoint","continuous probability used as threshold","yes","online replanning","probabilistic formulation","Explicit continuous returnability during waypoint selection","Returnability is candidate feasibility/scoring in exploration; DynNav-R must distinguish route fragility, bottleneck exposure, tail risk, and supervisor integration","core comparator"
Shutto_LunarReturnability_2020,2020,"Action Planning with Returnability for a Lunar Rover Exploring Permanently Shadowed Regions",Japan Joint Automatic Control Conference,"returnability-aware rover planning","mission/resource considerations","returnability for rover action planning","requires full-text classification","yes","unknown","unknown","Uses returnability explicitly in planning","Need full text before novelty statement","screen full text"
Hossain_QPRL_2025,2025,"QPRL: Learning Optimal Policies with Quasi-Potential Functions for Asymmetric Traversal",ICML,"irreversible/asymmetric traversal","RL objective with quasi-potential functions","reduced irreversible constraint violations","continuous learned potential","yes","policy execution","theoretical properties to verify","Addresses irreversible transitions directly","Learning-based policy setting differs, but may challenge broad irreversibility claims","core comparator"
Taheri_CommitStates_2026,2026,"Temporal-Logic-Aware Frontier-Based Exploration",arXiv,"irreversible task commitments","temporal logic planning","commit states preserve possible task-satisfaction paths","discrete structural representation","yes","online exploration","soundness/completeness claimed","Explicit representation of irreversible actions and retained task paths","DynNav-R concerns geometric recovery freedom and route invalidation, but cannot claim irreversibility is unstudied","core comparator"
Agrawal_SafeMapping_2025,2025,"Certifiably-Correct Mapping for Safe Navigation Despite Odometry Drift",RSS,"safe mapping and navigation","odometry-error-aware safe map","safe stop before collision","none","supports planner","yes","certifiable map correctness under assumptions","Runtime safe stopping with mapping uncertainty","No recovery freedom objective","component prior art"
Warren_EmergencyReturn_2018,2018,"There's No Place Like Home: Visual Teach and Repeat for Emergency Return of Multirotor UAVs During GPS Failure",arXiv / field robotics work,"emergency return","navigation failure model","follow recorded outbound route home","binary operational return capability","not route optimization","yes","empirical","Emergency return after navigation failure","Does not optimize retained future recovery freedom","evaluation precedent"
RESCUE_2025,2025,"RESCUE: Multi-Robot Planning Under Resource Uncertainty and Objective Criticality",ECRTS,"multi-robot resilient planning","resource/cost uncertainty","guaranteed safe return of non-faulty robots","constraint","yes","distributed replanning","guarantee claimed in model","Safe return and replanning under uncertainty","Multi-robot mixed-criticality setting; still constrains broad safe-return novelty claims","component prior art"
